date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:51	92614/92614	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:50%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM?sortcol=4;table=1;up=0	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAMd1c3.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:53	92614/92614	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:52%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM?sortcol=5;table=1;up=0	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAMe84d.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:55	92614/92614	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:54%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM?sortcol=6;table=1;up=0	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAMbf07.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:57	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:45:55%20GMT	https://www.linux4sam.org/bin/view/Main/EugenHristev	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/EugenHristev	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:57	53050/53050	---M--	200	added ('OK')	image/jpeg	etag:%225db6b42a-cf3a%22	https://www.linux4sam.org/pub/Linux4SAM/WebHome/LNX4SAM_A5D3_478x229.jpg	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/pub/Linux4SAM/WebHome/LNX4SAM_A5D3_478x229.jpg	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:58	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:45:58%20GMT	https://www.linux4sam.org/bin/view/Main/NicolasFerre	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/NicolasFerre	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:59	40555/40555	---M--	200	added ('OK')	image/jpeg	etag:%225db6b42a-9e6b%22	https://www.linux4sam.org/pub/Linux4SAM/WebHome/LNX4SAM_A5D4EK_480x265.jpg	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/pub/Linux4SAM/WebHome/LNX4SAM_A5D4EK_480x265.jpg	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:00	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:00%20GMT	https://www.linux4sam.org/bin/view/Main/NicolasFerre	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/NicolasFerre	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:02	198791/198791	---M--	200	added ('OK')	image/png	etag:%225db6b42a-30887%22	https://www.linux4sam.org/pub/Linux4SAM/WebHome/SAM-A5D4---Block-Diagram.png	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/pub/Linux4SAM/WebHome/SAM-A5D4---Block-Diagram.png	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:02	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:02%20GMT	https://www.linux4sam.org/bin/view/Main/NicolasFerre	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/NicolasFerre	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:03	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:03%20GMT	https://www.linux4sam.org/bin/view/Main/EugenHristev	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/EugenHristev	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:04	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:04%20GMT	https://www.linux4sam.org/bin/view/Main/CristianBirsan	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/CristianBirsan	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:06	341350/341350	---M--	200	added ('OK')	image/jpeg	etag:%225db6b42a-53566%22	https://www.linux4sam.org/pub/Linux4SAM/WebHome/a5d27_wlsom1_ek1_642x526.jpg	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/pub/Linux4SAM/WebHome/a5d27_wlsom1_ek1_642x526.jpg	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:06	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:06%20GMT	https://www.linux4sam.org/bin/view/Main/EugenHristev	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/EugenHristev	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:07	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:07%20GMT	https://www.linux4sam.org/bin/view/Main/NicolasFerre	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/NicolasFerre	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:08	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:08%20GMT	https://www.linux4sam.org/bin/view/Main/NicolasFerre	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/NicolasFerre	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:11	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:09%20GMT	https://www.linux4sam.org/bin/view/Main/NicolasFerre	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/NicolasFerre	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:12	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:11%20GMT	https://www.linux4sam.org/bin/view/Main/NicolasFerre	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/NicolasFerre	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:12	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:12%20GMT	https://www.linux4sam.org/bin/view/Main/NicolasFerre	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/NicolasFerre	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:46:13	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Jul%202021%2018:46:13%20GMT	https://www.linux4sam.org/bin/view/Main/NicolasFerre	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Main/NicolasFerre	(from https://www.linux4sam.org/bin/view/Linux4SAM)
